용도,허가번호,업종,품목명,성분명(국문),성분명(영문),허가일,업체명
동물용의약품,001-003,수입,교토비켄 케나인-9(KYOTO BIKEN CANINE-9),디스템퍼+전염성간염+파라인플+파보바+렙토스피라+코로나,DHPPL+Coronavirus,2003-08-07,(주)삼우메디안
동물용의약품,002-003,수입,폴리펜젝트 20(POLYPENJECT 20),아목시실린,Amoxicillin,1993-03-23,(주)삼동
동물용의약품,002-005,수입,네오펜젝트(NEOPENJECT),페니실린지프로카인+네오마이신,Penicillin G procaine+Neomycin sulfate,1993-03-23,(주)삼동
동물용의약품,002-019,수입,풀밀,아미노필린,Aminophylline,1993-04-02,(주)삼동
동물용의약품,002-021,수입,아스리퍼(ASTHRIPUR),요오드+아미노메탄설폰산,Iodine+Aminomethane sulfonic acid,1993-04-02,(주)삼동
동물용의약품,002-026,수입,비에스케이(B.S.K),바실러스서브틸리스,Bacillus subtillis,1993-04-02,(주)삼동
동물용의약품,002-027,수입,케자콜(CEJAKOL),설피린+구아이페네신+염화세륨+아미노산+요오드화칼륨+아르손산염,Sulpyrine+Guaiphensin+Cerium chloide+Amino acid+Potassium idodin,1993-04-02,(주)삼동
동물용의약품,002-028,수입,세조딜(CEJODYL-TERPEN),염화세륨+요오드화칼륨+아르손산염+터핀하이드레이트+메타미솔,Cerium+Potassium iodine+Sodium arsenate+Terpinhydrate+Metamisol,1993-04-02,(주)삼동
동물용의약품,002-031,수입,더미잘(DERMISAL),정제화황,Sulfur extracts,1993-04-02,(주)삼동
동물용의약품,002-035,수입,루미잘(RUMISAL),넉스보미카추출물,Nux vomica extracts,1993-04-16,(주)삼동
동물용의약품,002-037,수입,산고스티프탈(Sangostyptal),하마멜리스+밀레폴륨+염화나트륨,Hamamelis+Millefolium+Sodium chloride,1993-04-16,(주)삼동
동물용의약품,002-039,수입,테타누산 24%(TETANUSAN 24%),글루콘산 칼슘,Calcium gluconate,1993-04-16,(주)삼동
동물용의약품,002-045,수입,네오콜렌틸(NEO-CHOLENTYL 0.1%),카르바콜,Carbacol,1993-04-16,(주)삼동
동물용의약품,002-048,수입,호미오캄(HOMEOCALM),구리푸로틴네이트,Copper proteinate,1993-04-17,(주)삼동
동물용의약품,002-054,수입,티에스오(T.S.O. SUSPENSION),트리메토프림+설파디아진,Trimethoprim+Sulfadiazine,1993-05-14,(주)삼동
동물용의약품,002-056,수입,비톨젝트포르테(VITOL-JECTFORTFORTE),비타민+아미노산,Vitamin+Amino acid,1993-05-14,(주)삼동
동물용의약품,002-057,수입,보미잘(VOMISAL),토근,Ipecacuanha,1993-05-14,(주)삼동
동물용의약품,002-061,수입,조세키놀(JOCECHINOL),퀴놀린설폰산+염화세륨+요오드화칼륨,8-Hydroxy-7-iodo-quinidine sulfonic acid+Cerium++Potassium,1993-05-14,(주)삼동
동물용의약품,002-068,수입,에이엘 365(AL-365),알루미늄살리실산염+설파구아니딘+탄닌산+사포닌,Aluminium salycylate+Sulfaguanidine+Tannic acid+Saponin,1993-05-24,(주)삼동
동물용의약품,002-069,수입,디센탈(DYSENTERAL),난백추출물+대황추출물+포도필룸추출물,Album+Rheum+Podophylum extracts,1993-07-21,(주)삼동
동물용의약품,002-071,수입,마밀(HOMEOMAMIL),쥐방울씨+승마+흑연+풀사틸라추출물,Aristolochia+Cimicifuga+Graphite+Pulsatilla extracts,1993-07-21,(주)삼동
동물용의약품,002-077,수입,바이오클로스트(BIOCOLOST-LIQUID-S),면역글로블린,Immunoglobulins,1997-05-10,(주)삼동
동물용의약품,002-078,수입,엔테로 펌(ENTEROFERM 35G),장내균,Enterococcus,1997-05-10,(주)삼동
동물용의약품,002-089,수입,엔자이트(ENZITE),전분분해효소+섬유소분해효소+글루카곤분해효소+지방분해효소,Amylase+Cellulase+Glucanase+Protease,2001-10-11,(주)삼동
동물용의약품,002-098,수입,플로론액(Floron oral solution),플로르페니콜,Florfenicol,2003-06-24,(주)삼동
동물용의약품,002-106,수입,파우글로블린,감마글로블린,Gammaglobulin,2004-07-28,(주)삼동
동물용의약품,002-113,수입,덱살론 주사(Dexalone solution),덱사메타손,Dexamethasone sodium phosphate,2002-04-24,(주)삼동
동물용의약품,002-115,수입,레마싸이클린L.A(Remacycline L.A.),옥시테트라싸이클린,Oxytetracycline,1998-06-30,(주)삼동
동물용의약품,002-116,수입,키비탄 주(세프퀴놈황산염)(QIVITAN),세프퀴놈,Cefquinome,2020-02-04,(주)삼동
동물용의약품,003-018,제조,메치아민50,메치오닌,DL-methionine,1970-09-07,대한뉴팜(주)
동물용의약품,003-037,제조,타후민,효모+파파인+황산코발트+메치오닌+전해질,Yeast+Papaine+Cobalt sulfate+Methionine+Electrolytes,1976-03-10,대한뉴팜(주)
동물용의약품,003-040,제조,대한라사로소디(DAEHAN LASARO SODI),라사로시드나트륨,Lasalocid sodium,1985-06-04,대한뉴팜(주)
동물용의약품,003-043,제조,대한트립토신(DAEHAN TRYPTOSIN),트립토판+라이신,Tryptophan+Lysin,1986-01-18,대한뉴팜(주)
동물용의약품,003-052,제조,라바자임(LABAZYME),연쇄상구균+간균+유산균,Streptococcus+Bacillus+Lactobacillus,1986-09-17,대한뉴팜(주)
동물용의약품,003-053,제조,볼록(POLOX),폴록사렌,Poloxalene,1986-09-30,대한뉴팜(주)
동물용의약품,003-067,제조,대한니카바진,니카바진,Nicarbazine,1989-02-10,대한뉴팜(주)
동물용의약품,003-070,제조,타이골드(Ty-Gold),타이로신,Tylosin,1989-08-05,대한뉴팜(주)
동물용의약품,003-071,제조,오렌믹스(AUREONMIX),클로르테트라사이클린염산염,Chlortetracycline HCl,1990-09-22,대한뉴팜(주)
동물용의약품,003-072,제조,대한코린25,염화코린,Choline chloride,1991-06-19,대한뉴팜(주)
동물용의약품,003-078,제조,바이오에스비-골드(BioSB-Gold),효모+간균,Saccharomyces+Bacillus subtillis,1995-07-31,대한뉴팜(주)
동물용의약품,003-079,제조,이스트셀(YEAST SEL),셀레늄이스트,Selenium yeast,1995-08-02,대한뉴팜(주)
동물용의약품,003-080,제조,살리노콕스(SALINOCOKS),살리노마이신나트륨,Salinomysin sodium,1996-07-19,대한뉴팜(주)
동물용의약품,003-081,제조,엔로삭신액(ENROXACIN ORAL),엔로플록사신,Enrofloxacin,1996-11-20,대한뉴팜(주)
동물용의약품,003-087,제조,세파레겐-비유기연고,세파렉신+겐타마이신,Cephalexin+Gentamicin,1997-12-15,대한뉴팜(주)
