용도,허가번호,업종,품목명,성분명(국문),성분명(영문),허가일,업체명
동물용의약품,003-090,제조,미네라본부록(MINERABON BLOCK),테트라클로르빈포스+광물질,Tetrachlorvinphos+Minerals,1998-07-04,대한뉴팜(주)
동물용의약품,003-093,제조,플루벤(FLUBEN),플루벤다졸,Flubendazole,1998-12-08,대한뉴팜(주)
동물용의약품,003-118,제조,토노플러스 주(TONOPLUS INJ.),토노포스판+비타민,Tonophosphan+Vitamin,2001-04-12,대한뉴팜(주)
동물용의약품,003-130,제조,엑센트플러스주(Accent Plus inj.),세프티오퍼,Ceftiofur,2002-04-22,대한뉴팜(주)
동물용의약품,003-141,제조,부타콤비(Buta-Combi),부타포스판,Butaphosphan,2003-08-02,대한뉴팜(주)
동물용의약품,003-144,제조,암피신(Ampicin),암피실린,Ampicillin,2004-01-06,대한뉴팜(주)
동물용의약품,003-150,제조,톨트라콕신,톨트라주릴,Toltrazuril,2004-07-15,대한뉴팜(주)
동물용의약품,003-153,제조,대한-클로피돌,클로피돌,Clopidol,2005-01-06,대한뉴팜(주)
동물용의약품,003-156,제조,아스비타씨,아스피린(아세틸살리실산) 비타민C(아스코르브산),Aspirin(Acetylsalicylic acid) Vitamin C(Ascorbic acid),2005-06-04,대한뉴팜(주)
동물용의약품,003-159,제조,독시 200,독시싸이클린,Doxycycline,2006-01-31,대한뉴팜(주)
동물용의약품,003-162,제조,아나파액,페닐부타존+브롬헥신,Phenylbutazone+Bromhexine HCl,2006-04-07,대한뉴팜(주)
동물용의약품,003-163,제조,아나파주,톨페나민산,Tolfenamic aicd,2006-05-10,대한뉴팜(주)
동물용의약품,003-167,제조,바이오스펙틴(Biospectin),린코마이신+스펙티노마이신,Lincomycin+Spectinomycin,2007-08-14,대한뉴팜(주)
동물용의약품,003-174,제조,CY 틸미포 200,틸미코신포스페이트,Tilmicosin phosphate,2008-07-28,대한뉴팜(주)
동물용의약품,003-175,제조,스코피린 주(Scopyrin Inj),스코폴라민+디피론,Scopolamine+Dipyrone,2009-06-23,대한뉴팜(주)
동물용의약품,003-178,제조,그랩타론 주(Gleptaron Inj.),글렙토페론,Gleptoferron,2009-07-10,대한뉴팜(주)
동물용의약품,003-179,제조,콕시펜드(Coccipend),디클라주릴,Diclazuril,2009-11-02,대한뉴팜(주)
동물용의약품,003-184,제조,바이렉스 주(Bairex inj.),멘부톤+클로로크레졸,Menbutone+Chlorocresol,2010-02-18,대한뉴팜(주)
동물용의약품,003-188,제조,테라펜(Terraphen),아세트아미노펜(파라세타몰),Acetaminophen,2010-08-24,대한뉴팜(주)
동물용의약품,003-190,제조,카루멘(Carumen),모넨신나트륨,Monensin sodium,2010-12-01,대한뉴팜(주)
동물용의약품,003-193,제조,이뮨부스터(Immune Booster),유우칼리추출물,Eucalyptus tree resin extracts,2011-06-24,대한뉴팜(주)
동물용의약품,003-194,제조,대한 안티섹(ANTISEC),티몰,Thymol,2011-08-24,대한뉴팜(주)
동물용의약품,003-197,제조,투플러스(TWO-PLUS),멜렌게스트롤,Melengestrol,2011-12-13,대한뉴팜(주)
동물용의약품,003-203,제조,하트필락스(Heart phylax),이버멕틴+피란텔,Ivermectin+Pyrantel,2013-02-08,대한뉴팜(주)
동물용의약품,003-204,제조,마뿔샷 100(Mappul-shut 100),마보플록사신,Marbofloxacin,2013-04-03,대한뉴팜(주)
동물용의약품,003-205,제조,마이틱스(Mitix),아미트라즈,Amitraz,2013-08-16,대한뉴팜(주)
동물용의약품,003-206,제조,스킨가드 스프레이(Skin guard spray),트리클로르폰+안식향산벤질,Trichlorfon+Benzylbenzoate,2013-10-07,대한뉴팜(주)
동물용의약품,003-212,제조,에코제트 주입제(오레가노 오일)(Ecoject Ointment),오레가노 오일,Oregano oil,2015-02-10,대한뉴팜(주)
동물용의약품,003-213,제조,에너샷(Enershot),카르니틴,Carnitine,2015-04-30,대한뉴팜(주)
동물용의약품,003-218,제조,쿠마킹액(쿠마포스)(Coumaking),쿠마포스,Coumaphos,2017-03-22,대한뉴팜(주)
동물용의약품,003-219,제조,DH 루치온 주(글루타티온 환원형)(DH Luthione inj.),글루타치온,Glutathion,2017-05-25,대한뉴팜(주)
동물용의약품,003-220,제조,그랜멕틴 푸어온(에프리노멕틴)(Granmectin Pour-on),에프리노멕틴,Eprinomectine,2017-09-01,대한뉴팜(주)
동물용의약품,003-225,제조,디에치 풀비신 과립(그리세오풀빈)(DH Fulvisin),그리세오풀빈,Griseofulvin,2018-02-27,대한뉴팜(주)
동물용의약품,003-230,제조,대한-락토파 산(락토파민염산염)(Daehan-Ractopa),락토파민염산염,Ractopamine HCl,2019-05-01,대한뉴팜(주)
동물용의약품,003-231,제조,암프롬 액(암프롤리움염산염),암프롤리움,Amprolium HCl,2019-08-09,대한뉴팜(주)
동물용의약품,003-232,제조,카디벤단 정(피모벤단)(Cadibendan Tab.),피모벤단,Pimobendan,2019-10-22,대한뉴팜(주)
동물용의약품,003-233,제조,대한 주사용수,주사용증류수,WATER FOR INJECTION,2020-01-15,대한뉴팜(주)
동물용의약품,003-236,제조,트랙스 주(툴라스로마이신)(TRAXX inj.),툴라스로마이신,Tulathromycin,2021-10-20,대한뉴팜(주)
동물용의약품,003-240,제조,테라민 정(테르비나핀염산염)(Teramin Tab.),염산테르비나핀,Terbinafine Hydrochloride,2022-06-15,대한뉴팜(주)
동물용의약품,003-244,제조,프로콕스 정(피로콕시브)(Procox Tab.),피로콕시브,firocoxib,2023-03-09,대한뉴팜(주)
동물용의약품,004-007,제조,신일겐타마이신주(GENTAMICIN INJECTION),겐타마이신,Gentamycin,1981-02-12,에스비신일(주)
동물용의약품,004-009,제조,카나마이신주사액(GANAMYCIN INJ.),카나마이신,Kanamycin,1981-02-12,에스비신일(주)
동물용의약품,004-021,제조,신일아프라마이신믹스(S.I. APRAMYCIN MIX),아프라마이신,Apramycin,1983-07-26,에스비신일(주)
동물용의약품,004-026,제조,씨엔디주(C.N.D. INJ),콜리스틴+네오마이신+덱사메타손,Colistin sulfate+Neomycin sulfate+Dexamethasone,1985-01-10,에스비신일(주)
동물용의약품,004-035,제조,아미라이트 주(AMILYTE INJECTION),전해질교정약,Electrolytes supplemental preparations,1987-06-10,에스비신일(주)
동물용의약품,004-070,제조,노프록실린-100주(NORFLOXILLIN-100 INJECTION),노플록사신,Norfloxacine,1995-12-02,에스비신일(주)
동물용의약품,004-071,제조,뉴브롬-주(NEWBROM-INJ.),브롬헥신,Bromehexine HCl,1996-01-20,에스비신일(주)
동물용의약품,004-074,제조,고나신-주(GONASHIN-INJ.),고나도레닌,Gonadorelin,1996-06-21,에스비신일(주)
동물용의약품,004-112,제조,록시푸러스(산),록시트로마이신+타일로신 타르타르산,Roxithromycin+Tylosin Tartrate,1999-09-11,에스비신일(주)
동물용의약품,004-114,제조,신일네오마이신200(주)(S.I. NEOMYCIN 200 INJ.),네오마이신,Neomycin,1999-11-18,에스비신일(주)
동물용의약품,004-129,제조,뉴-프로캅주(Ketoprone inj.),케토프로펜,Ketoprofen,2002-02-18,에스비신일(주)
동물용의약품,004-136,제조,마스티쿰-에스,비타민A+비타민E+트립신+카이모트립신,Vit.A+Vit.E+Trypsin+Chymotrysin,2003-03-17,에스비신일(주)
동물용의약품,004-166,제조,신일티아물린39(SI TIAMULIN 39),티아물린,Tiamulin,2007-04-23,에스비신일(주)
동물용의약품,004-168,제조,파워펜-S 주(Powerpen-S inj.),페니실린지나트륨-클레미졸+디하이드로스트렙토마이신,Peincillin G sodium-clemizole+Dihydrostreptomycin sulfate,2007-08-28,에스비신일(주)
동물용의약품,004-169,제조,아미목스-주(Amimox inj.),아목시실린트리하이드레이드+겐타마이신,Amoxycillin+Gentamycin sulfate,2007-10-15,에스비신일(주)
동물용의약품,004-189,제조,싸이클렌(Cycleren),클로프로스테놀(프로스타글란딘유도체),Cloprostenol(Analog of prostaglandin),2012-01-13,에스비신일(주)
동물용의약품,004-205,제조,플루퀸200 액(Fluquine200 Sol.),플루메퀸,Flumequine,2014-04-01,에스비신일(주)
동물용의약품,004-002,수입,하이비타코겐(HI-VITACOGEN),생균-효모발효생성물,Probiotic-Yeast fermentation products,1993-02-02,(주)한풍산업
동물용의약품,004-008,수입,L-라이신(L-LYSINE),라이신,Lysin HCl,1995-12-26,(주)한풍산업
동물용의약품,006-025,제조,다나라제-50,프로그램 관리품목,Programming item,1983-04-29,(주)고려비엔피
동물용의약품,006-049,제조,아미철,펩타이드철,Iron peptinate,1986-12-15,(주)고려비엔피
동물용의약품,006-054,제조,제텐-디(ZETEN-D),아연메치오닌,Zinc methionine,1987-09-15,(주)고려비엔피
동물용의약품,006-062,제조,아미철 250(AMI IRON 250),철푸로틴네이트,Iron proteinate,1990-05-08,(주)고려비엔피
동물용의약품,006-079,제조,고려염산시미아졸원료(KOREA CYMIAZOLE HCL),시미아졸,Cymiazole Hcl,1995-03-29,(주)고려비엔피
동물용의약품,006-109,제조,싸이로진-10,사이로마진,Cyromazine,1999-03-19,(주)고려비엔피
동물용의약품,006-116,제조,에스트림산(ESTRIM-P),에리스로마이신+설파디아진+트리메토프림,Erythromycin+Sulfadiazine+Trimethoprim,2001-06-11,(주)고려비엔피
동물용의약품,006-123,제조,힘백 일본뇌염 생백신(Himmvac Japanese Encephalitis Live Vaccine),일본뇌염,Japanese encephalitis,1985-01-19,(주)고려비엔피
동물용의약품,006-125,제조,힘백 돈호방-PAR 혼합백신(Himmvac Donoban-PAR Vaccine),위축성비염+파스튜렐라+흉막폐렴,AR + Pasteurellosis + Pleuropneumonia,1986-06-24,(주)고려비엔피
동물용의약품,006-126,제조,힘백 우사방-E 플러스 주(HIMMVAC CALF E. COLI OIL VACCINE),대장균,E.coli,1986-06-24,(주)고려비엔피
동물용의약품,006-130,제조,힘백 광견병 생독백신(HIMMVAC RABIES LIVE VACCINE),광견병,Rabies,1986-10-27,(주)고려비엔피
동물용의약품,006-133,제조,힘백 소 브이아이피 백신(HIMMVAC BOVINE V.I. VACCINE),전염성비기관염+바이러스성설사증+파라인플루엔자,IBR+BVD+Parainfluenza,1986-11-17,(주)고려비엔피
동물용의약품,006-137,제조,힘백 달구방 버사-엠 생백신(HIMMVAC DALGUBAN BURSA-M LIVE VACCINE),전염성F낭병,Infectious bursal disease,1986-12-30,(주)고려비엔피
동물용의약품,006-143,제조,캐디가드 디에취 생독백신(HIMMVAC D.H.VACCINE),디스템퍼+전염성간염,Distemper+Infectious hepatitis,1987-07-06,(주)고려비엔피
동물용의약품,006-144,제조,힘백 디에취피엘 백신(HIMMVAC D.H.P.L VACCINE),디스템퍼+전염성간염+파보바이러스,DHP,1987-07-06,(주)고려비엔피
동물용의약품,006-147,제조,캐니가드 렙토스피라백신(HIMMVAC CANINE LEPTOSPIRA BACTER),렙토스피라,Leptospirosis,1989-11-03,(주)고려비엔피
동물용의약품,006-152,제조,힘백 소 아까바네병 생독백신(HIMMVAC BOVINE AKABANE VIRUS LIV),아까바네,Akabane,1992-01-28,(주)고려비엔피
동물용의약품,006-154,제조,힘백 소 유행열 생독백신(Himmvac Bovine Ephemeral Fever Live Vaccine),유행열,Ephemoral fever,1992-12-28,(주)고려비엔피
동물용의약품,006-155,제조,힘백 소 이바라기병 사독백신(HIMMVAC BOVINE IBARAKI VIRUS),이바라기,Ibaraki disease,1994-03-23,(주)고려비엔피
동물용의약품,006-158,제조,힘백 TGE.ROTA COMBINED LIVE VACC(HIMMVAC TGE.ROTA COMBINED LIVE),전염성위장염+로타바이러스,TGE + Rota virus,1995-04-20,(주)고려비엔피
동물용의약품,006-159,제조,힘백 개 파보바이러스 사독백신(Himmvac Canine Parvovirus Killed Vaccine),파보바이러스,Parvovirus,1996-10-21,(주)고려비엔피
동물용의약품,006-183,제조,미네랄 알앤디 110,복합광물질,Mixed minerals,2004-04-28,(주)고려비엔피
동물용의약품,006-196,제조,알파 키모 주,키모트립신,Chymotrypsin,2005-08-23,(주)고려비엔피
동물용의약품,006-201,제조,힘백 DHPP 백신(Himmvac DHPP Vaccine),디스템퍼+전염성간염+파보바이러스+파라인플루엔자,DHPP,2006-02-06,(주)고려비엔피
동물용의약품,006-219,제조,펜벤졸(Fenbenzole),펜벤다졸,Fenbendazole,2007-04-23,(주)고려비엔피
동물용의약품,006-222,제조,막피린 주(Macpyrine injection),메타미졸 소디움,Metamizole sodium,2007-09-19,(주)고려비엔피
동물용의약품,006-226,제조,자가농장용 생물학적제제 : 자가백신,자가 백신,Autogenous vaccine,2008-03-20,(주)고려비엔피
동물용의약품,006-229,제조,힘백 우사방 로코 생독혼합백신(Himmvac Woosaban Roco Combined Live vaccine),로타바이러스+코로나바이러스,Rotavirus+Coronavirus,2008-06-16,(주)고려비엔피
동물용의약품,006-230,제조,힘백 돈호방-지엠에스(Himmvac Donoban-GMS),글레써씨+스트렙토코커스스위스+마이코플라즈마,Glasser s disease+Streptococcus suis+Mycoplasma,2008-06-27,(주)고려비엔피
동물용의약품,006-233,제조,힘백 돈단독 불활화백신(HIMMVAC SE Inactivated Vaccine),돼지단독,Erysipelothrix,2008-08-19,(주)고려비엔피
동물용의약품,006-253,제조,힘백 우호방-5(Himmvac Woohoban-5),파스튜렐라+만헤미아+헤모필러스,Pasteurella+Mannheimia+Haemophilus,2009-08-03,(주)고려비엔피
동물용의약품,006-273,제조,석시닐콜린 주(Succinylcholine injection),숙사메토늄염화물수화물,Suxamethonium Chloride Hydrate,2011-01-07,(주)고려비엔피
동물용의약품,006-289,제조,타일렉스(Theilex),부파바쿠온,Buparvaquone,2013-05-08,(주)고려비엔피
동물용의약품,006-291,제조,힘백 달구방 아데노 오일백신(Himmvac Dalguban H Oil vaccine),닭아데노바이러스,Fowl Adenovirus,2013-08-07,(주)고려비엔피
동물용의약품,006-293,제조,케라진 주(Kelazine Injection),자일라진,Xylazines,2013-11-04,(주)고려비엔피
동물용의약품,006-315,제조,자이버스 주(요힘빈염산염)(Zyverse),요힘빈,Yohimbin HCl,2003-02-11,(주)고려비엔피
동물용의약품,006-318,제조,고려 헤파린나트륨 주사(KBNP Heparin Sodium Injection),헤파린나트륨,Heparin sodium,2004-08-26,(주)고려비엔피
동물용의약품,006-329,제조,후미딜-비 산제(후마길린)(Fumidil-B),푸마길린,Fumagillin,2018-10-24,(주)고려비엔피
동물용의약품,006-012,수입,홍사방 스트립(플루발리네이트)(HongSaBang strip),플루발리네이트,Fluvalinate,2017-04-24,대한뉴팜(주)
동물용의약품,006-014,수입,피프닐 스팟온 액(피프로닐)(Fipnil Spot-on),피프로닐,Fipronil,2019-01-22,대한뉴팜(주)
동물용의약품,006-015,수입,알제스트 액(알트레노제스트)(Algest Sol.),알트레노게스트,Altrenogest,2021-08-11,대한뉴팜(주)
동물용의약품,006-016,수입,찬홀드 스팟온 액 120mg(셀라멕틴)(Chanhold Spot-On 120 mg),셀라멕틴,Selamectin,2022-07-28,대한뉴팜(주)
동물용의약품,008-036,제조,미네랄-톱(MINERAL-TOP),광물질공급약,Mineral supplemental preparations,1972-06-28,한국엘랑코동물약품(주)
동물용의약품,008-061,제조,네가산트,코마포스+프로폭서+설파닐라마이드,Comaphos+Propoxur+Sulfanilamide,1976-08-09,한국엘랑코동물약품(주)
동물용의약품,008-070,제조,프로란-이 주사액(PROLAN-E OILY SOLUTION),고나도트로핀+비타민 E,Gonadotropin+Vitamin E,1976-12-12,한국엘랑코동물약품(주)
동물용의약품,008-080,제조,프로란 에스 주사액,에스트로젠+태반성성선자극호르몬,Estrogen+HCG,1977-08-31,한국엘랑코동물약품(주)
동물용의약품,008-081,제조,옥시벧 주사액(Oxyvet Inj.),옥시토신,Oxytocin,1977-08-31,한국엘랑코동물약품(주)
동물용의약품,008-097,제조,빌레본주사액,메니클로포란+메칠글루카민,Menichlopholan+Methylglucamine,1978-05-31,한국엘랑코동물약품(주)
동물용의약품,008-102,제조,린탈-10 과립(Rintal-10 Granule),페벤텔,Febantel,1979-03-23,한국엘랑코동물약품(주)
동물용의약품,008-115,제조,황산아트로핀 1 주사액(ATROPINE SULFATE 1 INJ.),아트로핀,Atropines,1979-08-22,한국엘랑코동물약품(주)
동물용의약품,008-136,제조,카보풀비트(Carbopulbit),비스무스+카올린+약용탄,Bithmuth subnitrate+Kaolin+Medicinal carbone,1980-12-15,한국엘랑코동물약품(주)
동물용의약품,008-137,제조,선오더(SUNODOR),부식산,Humic acid,1980-12-15,한국엘랑코동물약품(주)
동물용의약품,008-141,제조,엑티마,염산에티사졸,Etisazole HCl,1981-05-22,한국엘랑코동물약품(주)
동물용의약품,008-143,제조,드론시트정(DRONCIT TABLET),프라지퀸텔,Praziquintel,1981-05-22,한국엘랑코동물약품(주)
동물용의약품,008-153,제조,바이셀라제(BICELLASE),단백질분해효소+전분분해효소+섬유소분해효소,Protease+Amylase+Cellulase,1982-09-22,한국엘랑코동물약품(주)
동물용의약품,008-168,제조,레프로딘 주사액(REPRODIN INJ.),루프로스티올,Luprostiol,1983-11-26,한국엘랑코동물약품(주)
동물용의약품,008-182,제조,마크로설파(Macro-sulfa),키타사마이신+설파메타진,Kitasamycin+Sulfamethazine,1985-04-19,한국엘랑코동물약품(주)
동물용의약품,008-211,제조,마소텐-액(MASOTEN-SOL),포스포닉산,Phosphonic acid,1987-01-07,한국엘랑코동물약품(주)
동물용의약품,008-229,제조,폭심 VL 용액(Phoxim VL Solution),폭심,Phoxim,1987-12-18,한국엘랑코동물약품(주)
동물용의약품,008-232,제조,비카헤파 주사액(BYKAHEPAR INJ.),클라노부틴+클로로크레졸,Clanibutin+Chlorocresol,1987-12-18,한국엘랑코동물약품(주)
동물용의약품,008-302,제조,에비엑스(Aviax),셈두라마이신,Semduramicin,2002-11-30,한국엘랑코동물약품(주)
동물용의약품,008-345,제조,플럭시민(주)(Fluximine Injection),플루닉신,Flunixin,2015-09-25,한국엘랑코동물약품(주)
동물용의약품,009-026,제조,네오헥사딘,클로르헥시딘,Chlorhexidine,1986-12-15,진우약품(주)
동물용의약품,009-030,제조,메트아이론,철메치오닌,Iron methionine,1987-12-18,진우약품(주)
동물용의약품,009-061,제조,파워 에스 피,클로르테트라싸이클린염산염+설파메타진+페니실린지프로카인,Chlotetracycline HCl+Sulfamethazine+Penicillin G Procaine,2004-07-22,진우약품(주)
동물용의약품,009-063,제조,메벤텔-정,메벤다졸+프라지퀸텔,Mebendazol+Praziquantel,2004-09-07,진우약품(주)
동물용의약품,009-082,제조,진우 피페라진,피페라진,Piperazine,2005-10-18,진우약품(주)
동물용의약품,009-095,제조,아스피린-에스,아세틸살리실산(아스피린),Acetylsalicylic acid(Aspirin),2006-06-16,진우약품(주)
동물용의약품,009-109,제조,헤파맥스-골드(HepaMax-Gold),판토텐산칼슘,Panthothenate calcium,2007-06-25,진우약품(주)
동물용의약품,010-004,수입,헤파겐(HEPAGEN),페녹시메칠프로피온산,Phenoxy-2-methyl-2-propionic acid,1993-04-09,(주)서삼
동물용의약품,010-011,수입,헤파베트(HEPAVET),대황+포도필린+콘두란고+볼더스+넉스보미카,Rhubarb+Podophyllin+Condurango+Boldus+Nux vomica,1993-04-09,(주)서삼
동물용의약품,010-032,수입,달마린(Dalmarelin),레시레린,lecirelin,2009-02-02,(주)서삼
동물용의약품,010-034,수입,세팍시민엘 비유연고(Cefaximin L),리팍시민+세파세트릴나트륨,Rifaximin+Cephacetrile sodium,2009-12-30,(주)서삼
동물용의약품,010-037,수입,셉토겔 주입제(포비돈 요오드)(SEPTOGEL),포비돈요오드,Povidone iodine,2017-11-21,(주)서삼
동물용의약품,014-019,제조,미현 - 100,클로스트리디움부티리쿰,Clostridium butyricum,1980-12-15,(주)성원
동물용의약품,014-032,제조,티아무린-S,설파메타진+티아물린,Sulfamethazine+Tiamulin,1983-10-21,(주)성원
동물용의약품,014-078,제조,록사자임(ROXAZYME),효소유기물,Enzyme complex,1995-12-12,(주)성원
동물용의약품,014-132,제조,스피골드,스피라마이신,Spiramycin,2005-07-29,(주)성원
동물용의약품,014-141,제조,테트라마이신,옥시테트라싸이클린염산염+네오마이신,OTC HCL+Neomycin,2006-12-01,(주)성원
동물용의약품,014-192,제조,콕시데코산(데코퀴네이트),데코퀴네이트,Decoquinate,2021-03-15,(주)성원
동물용의약품,014-010,수입,발라노(VALANOR),제1위추출물,Bovine rumen extracts,1993-04-06,(주)고려비엔피
동물용의약품,014-019,수입,헤파토젝트(HEPATOJECT),제나비릭산,Genabilic acid,1993-07-28,(주)고려비엔피
동물용의약품,014-021,수입,콜타르 스프레이(COAL TAR SPRAY),콜타르,Coal tar,1993-07-28,(주)고려비엔피
동물용의약품,014-033,수입,콕시백-D(COCCIVAC-D),콕시듐,Coccidiosis,1995-11-03,(주)고려비엔피
동물용의약품,016-012,제조,삼우 바시트라신(Samu Bacitracin),바시트라신 아연,Zn-Bacitracin,1970-09-07,(주)삼우메디안
동물용의약품,016-033,제조,에트라스 전해질용액(ETRAS ELECTROLYTE SOL),염화나트륨,Sodium Chloride,1975-07-09,(주)삼우메디안
동물용의약품,016-042,제조,히스타민 주사액(HISTAMIN INJ.),클로르페닐라민,Chlorpheniramines,1976-09-20,(주)삼우메디안
동물용의약품,016-043,제조,삼우프레드니솔론주사(Samu Prednisolone inj.),프레드니솔론,Prednisolone,1976-09-20,(주)삼우메디안
