,precision,recall,f1-score,support
0,0.9048328984967077,0.5360270847133289,0.6732298021815493,13587.0
1,0.26096131301289566,0.7439839572192514,0.3863912515188335,2992.0
accuracy,0.573556909343145,0.573556909343145,0.573556909343145,0.573556909343145
macro avg,0.5828971057548017,0.6400055209662902,0.5298105268501914,16579.0
weighted avg,0.788633864552105,0.573556909343145,0.6214642588084359,16579.0
