,precision,recall,f1-score,support
0,0.9227351271291039,0.5502318392581144,0.6893817142330213,13587.0
1,0.2791081750619323,0.7907754010695187,0.41259046124335164,2992.0
accuracy,0.5936425598648893,0.5936425598648893,0.5936425598648893,0.5936425598648893
macro avg,0.6009216510955181,0.6705036201638166,0.5509860877381865,16579.0
weighted avg,0.8065802419982168,0.5936425598648893,0.6394293993198726,16579.0
