date,max_temp,min_temp,precip_mm,weather,temp_range,is_rainy,weather_desc
2016-04-29,23.4,20.8,11.9,61,2.599999999999998,1,Slight rain
2016-04-30,25.5,20.9,0.4,51,4.600000000000001,1,Light drizzle
2016-05-01,22.5,20.7,2.8,51,1.8000000000000007,1,Light drizzle
2016-05-02,24.4,20.0,0.0,1,4.399999999999999,0,Mainly clear
2016-05-03,24.9,19.9,0.0,2,5.0,0,Partly cloudy
2016-05-04,26.2,20.5,0.0,2,5.699999999999999,0,Partly cloudy
2016-05-05,26.3,21.0,0.0,1,5.300000000000001,0,Mainly clear
2016-05-06,25.5,21.5,0.3,51,4.0,1,Light drizzle
2016-05-07,27.8,21.6,1.9,53,6.199999999999999,1,Moderate drizzle
2016-05-08,27.6,22.1,0.2,51,5.5,1,Light drizzle
2016-05-09,28.5,22.1,0.0,3,6.399999999999999,0,Overcast
2016-05-10,30.1,22.1,0.0,1,8.0,0,Mainly clear
2016-05-11,29.4,22.3,0.0,3,7.099999999999998,0,Overcast
2016-05-12,27.2,22.4,0.0,3,4.800000000000001,0,Overcast
2016-05-13,25.4,21.9,2.1,53,3.5,1,Moderate drizzle
2016-05-14,23.4,20.9,0.0,3,2.5,0,Overcast
2016-05-15,23.6,21.0,0.6,51,2.6000000000000014,1,Light drizzle
2016-05-16,29.6,20.7,0.0,3,8.900000000000002,0,Overcast
2016-05-17,29.8,22.3,0.0,3,7.5,0,Overcast
2016-05-18,26.3,22.9,0.6,51,3.400000000000002,1,Light drizzle
2016-05-19,25.0,22.5,0.9,53,2.5,1,Moderate drizzle
2016-05-20,25.0,21.8,1.8,51,3.1999999999999993,1,Light drizzle
2016-05-21,27.1,22.0,1.3,51,5.100000000000001,1,Light drizzle
2016-05-22,28.6,22.3,0.2,51,6.300000000000001,1,Light drizzle
2016-05-23,30.0,21.7,1.6,53,8.3,1,Moderate drizzle
2016-05-24,23.8,20.4,0.2,51,3.400000000000002,1,Light drizzle
2016-05-25,23.1,20.3,1.6,51,2.8000000000000007,1,Light drizzle
2016-05-26,24.5,19.1,0.0,3,5.399999999999999,0,Overcast
2016-05-27,24.7,17.9,0.0,3,6.800000000000001,0,Overcast
2016-05-28,25.0,19.7,0.0,3,5.300000000000001,0,Overcast
2016-05-29,25.2,22.0,0.8,51,3.1999999999999993,1,Light drizzle
2016-05-30,28.8,20.7,0.0,2,8.100000000000001,0,Partly cloudy
2016-05-31,28.3,19.9,0.9,51,8.400000000000002,1,Light drizzle
2016-06-01,29.6,21.7,10.6,63,7.900000000000002,1,Moderate rain
2016-06-02,30.0,22.0,0.0,3,8.0,0,Overcast
2016-06-03,26.6,21.7,1.8,53,4.900000000000002,1,Moderate drizzle
2016-06-04,28.3,22.7,0.0,3,5.600000000000001,0,Overcast
2016-06-05,29.8,22.0,0.0,3,7.800000000000001,0,Overcast
2016-06-06,31.5,23.0,0.0,3,8.5,0,Overcast
2016-06-07,25.8,22.6,0.0,3,3.1999999999999993,0,Overcast
2016-06-08,23.4,20.9,4.0,53,2.5,1,Moderate drizzle
